"filename","replicate","experiment","fraction"
"031815_ZM_At_microSEC_superose1_15.wiff","Superose1","F15",1
"031815_ZM_At_microSEC_superose1_16.wiff","Superose1","F16",1
"031815_ZM_At_microSEC_superose1_17.wiff","Superose1","F17",1
"031815_ZM_At_microSEC_superose1_18.wiff","Superose1","F18",1
"031815_ZM_At_microSEC_superose1_19.wiff","Superose1","F19",1
"031815_ZM_At_microSEC_superose1_20.wiff","Superose1","F20",1
"031815_ZM_At_microSEC_superose1_21.wiff","Superose1","F21",1
"031815_ZM_At_microSEC_superose1_22.wiff","Superose1","F22",1
"031815_ZM_At_microSEC_superose1_23.wiff","Superose1","F23",1
"031815_ZM_At_microSEC_superose1_24.wiff","Superose1","F24",1
"031815_ZM_At_microSEC_superose1_25.wiff","Superose1","F25",1
"062315_ZM_At_microSEC_superdex_15_2_A.wiff","Superdex2","F15",1
"062315_ZM_At_microSEC_superdex_16_1_A.wiff","Superdex1","F16",1
"062315_ZM_At_microSEC_superdex_16_1_B.wiff","Superdex1","F16",2
"062315_ZM_At_microSEC_superdex_16_2_A.wiff","Superdex2","F16",1
"062315_ZM_At_microSEC_superdex_17_1_A.wiff","Superdex1","F17",1
"062315_ZM_At_microSEC_superdex_17_2_A.wiff","Superdex2","F17",1
"062315_ZM_At_microSEC_superdex_18_1_A.wiff","Superdex1","F18",1
"062315_ZM_At_microSEC_superdex_18_2_A.wiff","Superdex2","F18",1
"062315_ZM_At_microSEC_superdex_19_1_A.wiff","Superdex1","F19",1
"062315_ZM_At_microSEC_superdex_19_2-A.wiff","Superdex2","F19",1
"062315_ZM_At_microSEC_superdex_20_1_A.wiff","Superdex1","F20",1
"062315_ZM_At_microSEC_superdex_20_2_A.wiff","Superdex2","F20",1
"062315_ZM_At_microSEC_superdex_21_1_A.wiff","Superdex1","F21",1
"062315_ZM_At_microSEC_superdex_21_2_A.wiff","Superdex2","F21",1
"062315_ZM_At_microSEC_superdex_22_1_A.wiff","Superdex1","F22",1
"062315_ZM_At_microSEC_superdex_22_2_A.wiff","Superdex2","F22",1
"062315_ZM_At_microSEC_superdex_23_1_A.wiff","Superdex1","F23",1
"062315_ZM_At_microSEC_superdex_23_2_A.wiff","Superdex2","F23",1
"062315_ZM_At_microSEC_superdex_24_1_A.wiff","Superdex1","F24",1
"062315_ZM_At_microSEC_superdex_24_2_A.wiff","Superdex2","F24",1
"062315_ZM_At_microSEC_superdex_25_1_A.wiff","Superdex1","F25",1
"062315_ZM_At_microSEC_superdex_25_2_A.wiff","Superdex2","F25",1
"062315_ZM_At_microSEC_superdex_26_1_A.wiff","Superdex1","F26",1
"062315_ZM_At_microSEC_superdex_26_2_A.wiff","Superdex2","F26",1
"062315_ZM_At_microSEC_superdex_27_1_A.wiff","Superdex1","F27",1
"062315_ZM_At_microSEC_superdex_27_2_A.wiff","Superdex2","F27",1
"062315_ZM_At_microSEC_superdex_28_1_A.wiff","Superdex1","F28",1
"062315_ZM_At_microSEC_superdex_28_2_A.wiff","Superdex2","F28",1
"062315_ZM_At_microSEC_superdex_29_1_A.wiff","Superdex1","F29",1
"062315_ZM_At_microSEC_superdex_29_2_A.wiff","Superdex2","F29",1
"062315_ZM_At_microSEC_superdex_30_1_A.wiff","Superdex1","F30",1
"062315_ZM_At_microSEC_superdex_30_2_A.wiff","Superdex2","F30",1
"062315_ZM_At_microSEC_superdex_31_1_A.wiff","Superdex1","F31",1
"062315_ZM_At_microSEC_superdex_31_2_A.wiff","Superdex2","F31",1
"062315_ZM_At_microSEC_superdex_32_1_A.wiff","Superdex1","F32",1
"062315_ZM_At_microSEC_superdex_32_2_A.wiff","Superdex2","F32",1
"062315_ZM_At_microSEC_superdex_33_1_A.wiff","Superdex1","F33",1
"062315_ZM_At_microSEC_superdex_33_2_A.wiff","Superdex2","F33",1
"062315_ZM_At_microSEC_superdex_34_1_A.wiff","Superdex1","F34",1
"062315_ZM_At_microSEC_superdex_34_2_A.wiff","Superdex2","F34",1
"062315_ZM_At_microSEC_superdex_35_1_A.wiff","Superdex1","F35",1
"062315_ZM_At_microSEC_superdex_35_2_A.wiff","Superdex2","F35",1
"062315_ZM_At_microSEC_superdex_36_1_A.wiff","Superdex1","F36",1
"062315_ZM_At_microSEC_superdex_36_2_A.wiff","Superdex2","F36",1
"062315_ZM_At_microSEC_superdex_37_1_A.wiff","Superdex1","F37",1
"062315_ZM_At_microSEC_superdex_37_2_A.wiff","Superdex2","F37",1
"062315_ZM_At_microSEC_superdex_38_1_A.wiff","Superdex1","F38",1
"062315_ZM_At_microSEC_superdex_38_2_A.wiff","Superdex2","F38",1
"062315_ZM_At_microSEC_superose_15_2_A.wiff","Superose2","F15",1
"062315_ZM_At_microSEC_superose_16_2_A.wiff","Superose2","F16",1
"062315_ZM_At_microSEC_superose_17_2_A.wiff","Superose2","F17",1
"062315_ZM_At_microSEC_superose_18_2_A.wiff","Superose2","F18",1
"062315_ZM_At_microSEC_superose_19_2_A.wiff","Superose2","F19",1
"062315_ZM_At_microSEC_superose_20_2_A.wiff","Superose2","F20",1
"062315_ZM_At_microSEC_superose_21_2_A.wiff","Superose2","F21",1
"062315_ZM_At_microSEC_superose_22_2_A.wiff","Superose2","F22",1
"062315_ZM_At_microSEC_superose_23_2_A.wiff","Superose2","F23",1
"062315_ZM_At_microSEC_superose_24_2_A.wiff","Superose2","F24",1
"062315_ZM_At_microSEC_superose_25_2_A.wiff","Superose2","F25",1
"062315_ZM_At_microSEC_superose_26_1_A.wiff","Superose1","F26",1
"062315_ZM_At_microSEC_superose_26_2_A.wiff","Superose2","F26",1
"QEPlus2_02182016_10_Suc1-4.raw","Sucrose1","F04",1
"QEPlus2_02182016_12_Suc1-5.raw","Sucrose1","F05",1
"QEPlus2_02182016_13_Suc1-6.raw","Sucrose1","F06",1
"QEPlus2_02182016_15_Suc1-7.raw","Sucrose1","F07",1
"QEPlus2_02182016_16_Suc1-8.raw","Sucrose1","F08",1
"QEPlus2_02182016_18_Suc1-9.raw","Sucrose1","F09",1
"QEPlus2_02182016_19_Suc1-10.raw","Sucrose1","F10",1
"QEPlus2_02182016_22_Suc1-11.raw","Sucrose1","F11",1
"QEPlus2_02182016_23_Suc1-12.raw","Sucrose1","F12",1
"QEPlus2_02182016_25_Suc1-13.raw","Sucrose1","F13",1
"QEPlus2_02182016_26_Suc1-14.raw","Sucrose1","F14",1
"QEPlus2_02182016_28_Suc1-15.raw","Sucrose1","F15",1
"QEPlus2_02182016_29_Suc1-16.raw","Sucrose1","F16",1
"QEPlus2_02182016_31_Suc1-17.raw","Sucrose1","F17",1
"QEPlus2_02182016_32_Suc1-18.raw","Sucrose1","F18",1
"QEPlus2_02182016_34_Suc1-19.raw","Sucrose1","F19",1
"QEPlus2_02182016_35_Suc1-20.raw","Sucrose1","F20",1
"QEPlus2_02182016_37_Suc1-21.raw","Sucrose1","F21",1
"QEPlus2_02182016_38_Suc1-22.raw","Sucrose1","F22",1
"QEPlus2_02182016_40_Suc1-23.raw","Sucrose1","F23",1
"QEPlus2_02182016_41_Suc1-24.raw","Sucrose1","F24",1
"QEPlus2_02182016_42_Suc1-25.raw","Sucrose1","F25",1
"QEPlus2_02182016_44_Suc2-1.raw","Sucrose2","F01",1
"QEPlus2_02182016_45_Suc2-2.raw","Sucrose2","F02",1
"QEPlus2_02182016_47_Suc2-3.raw","Sucrose2","F03",1
"QEPlus2_02182016_48_Suc2-4.raw","Sucrose2","F04",1
"QEPlus2_02182016_50_Suc2-5.raw","Sucrose2","F05",1
"QEPlus2_02182016_51_Suc2-6.raw","Sucrose2","F06",1
"QEPlus2_02182016_53_Suc2-7.raw","Sucrose2","F07",1
"QEPlus2_02182016_54_Suc2-8.raw","Sucrose2","F08",1
"QEPlus2_02182016_56_Suc2-9.raw","Sucrose2","F09",1
"QEPlus2_02182016_57_Suc2-10.raw","Sucrose2","F10",1
"QEPlus2_02182016_59_Suc2-11.raw","Sucrose2","F11",1
"QEPlus2_02182016_6_Suc1-1.raw","Sucrose1","F01",1
"QEPlus2_02182016_60_Suc2-12.raw","Sucrose2","F12",1
"QEPlus2_02182016_62_Suc2-13.raw","Sucrose2","F13",1
"QEPlus2_02182016_63_Suc2-14.raw","Sucrose2","F14",1
"QEPlus2_02182016_65_Suc2-15.raw","Sucrose2","F15",1
"QEPlus2_02182016_66_Suc2-16.raw","Sucrose2","F16",1
"QEPlus2_02182016_68_Suc2-17.raw","Sucrose2","F17",1
"QEPlus2_02182016_69_Suc2-18.raw","Sucrose2","F18",1
"QEPlus2_02182016_7_Suc1-2.raw","Sucrose1","F02",1
"QEPlus2_02182016_71_Suc2-19.raw","Sucrose2","F19",1
"QEPlus2_02182016_72_suc2-20.raw","Sucrose2","F20",1
"QEPlus2_02182016_74_Suc2-21.raw","Sucrose2","F21",1
"QEPlus2_02182016_75_suc2-22.raw","Sucrose2","F22",1
"QEPlus2_02182016_77_suc2-23.raw","Sucrose2","F23",1
"QEPlus2_02182016_78_Suc2-24.raw","Sucrose2","F24",1
"QEPlus2_02182016_79_Suc2-25.raw","Sucrose2","F25",1
"QEPlus2_02182016_9_Suc1-3.raw","Sucrose1","F03",1
